Real, Imaginary
-0.532604, 0.529877
-0.172277, 0.545565
0.142638, -2.006615
-1.874704, -3.056740
-2.935062, -0.013416
-5.186780, -1.543942
-1.847760, 0.922007
1.681790, 1.493896
-1.346046, 3.077036
-0.288239, -1.620867
-2.456842, 0.377498
-4.112023, -1.477143
0.978960, 5.612330
0.529898, 3.281571
-5.016778, 3.216175
1.102334, -0.977789
4.799627, -0.505337
-3.883240, -1.587028
-1.573023, 2.801136
-0.359807, 2.703761
1.901970, 0.154757
1.014164, -1.527848
1.721815, -0.376899
-3.330893, 0.764024
-1.179223, -1.414578
-6.031728, 4.773764
-1.665842, 3.886055
1.826296, 1.899655
2.727987, -0.725351
-5.176883, 1.526012
-1.983952, 3.660969
0.306858, 4.251156
3.880342, 1.126341
2.974148, -1.400985
-2.784887, 1.001389
-2.314131, 4.458862
5.017862, 3.381855
0.554110, -0.245267
1.664270, 2.218753
3.855334, 2.619599
0.009241, 2.426138
0.674450, 1.652401
3.890492, -1.699811
-0.195797, 0.087562
3.918759, -0.163877
0.824080, -2.015405
-5.466878, -1.554191
2.220673, 1.905352
4.324004, -0.926683
-1.977966, 4.909621
1.629974, 0.943263
3.305865, 2.185997
2.200197, -0.821910
0.387599, -0.409753
-0.776488, 2.341606
1.487706, 1.270812
2.992332, -3.154027
1.865753, 0.287194
0.299776, -4.047194
-5.120440, -3.361616
-0.347873, 5.137515
3.313297, 2.062659
1.787685, 0.158847
0.471414, 1.955752
1.494973, -0.872906
-0.055187, 0.255643
-0.012898, 1.911699
1.118043, 2.309226
1.410947, 2.117730
3.617464, 3.988627
3.438755, -5.629459
2.362740, -3.948538
-3.618635, 0.397661
3.957345, 2.534277
1.192334, -2.660167
4.168591, 1.615586
3.814011, -5.471938
1.013597, -4.024319
-5.238395, 2.076938
1.077410, -0.341907
-0.600770, 2.182777
1.238385, 3.534311
3.297571, -4.864032
0.644389, -6.657064
-5.181569, 2.454019
-3.263688, -0.327383
4.302748, 1.336685
2.339138, -2.457290
2.987892, -4.478493
-2.635690, -0.678186
-5.454773, 4.019732
-4.255974, -0.388501
6.476491, 4.319225
1.701122, 2.412301
-1.702420, -3.398588
-1.297694, -0.841049
-2.637658, -0.581710
-1.816907, 0.624438
4.609059, 2.199465
2.663533, 4.148047
0.621234, -3.497439
2.823887, 0.737650
-1.089973, 0.515637
2.848833, 3.629871
5.838250, 0.708427
1.604545, 2.311618
1.678107, -2.506027
8.207955, -3.051177
-0.038905, -9.370376
-5.052647, -2.585843
-2.368356, -1.186161
0.392111, 1.085842
1.942342, -3.892951
-0.516235, -4.957575
-6.654326, -1.711382
0.406864, 3.347799
0.454791, 1.671134
-0.180735, 2.118137
-0.384719, 1.146335
2.380439, -0.132316
-1.110863, 1.476323
2.133346, -0.782143
-5.830309, 0.075408
2.150137, -0.638592
2.616799, 1.005357
3.721174, -2.197138
-2.028560, -1.630412
3.664089, -3.030381
0.036814, -0.002668
-1.712891, -3.537242
-2.156630, 5.440415
3.425300, -0.152101
0.360583, -3.256142
-1.733480, -1.898115
-2.808893, 1.065710
-3.131227, -0.591590
4.403714, 0.386962
-0.654218, -2.609143
1.162854, -0.941456
-0.426224, -0.549982
0.330681, -1.274649
-0.562920, -1.703502
2.093447, -3.346187
-3.505034, -0.344371
-1.873230, 2.735947
-1.415342, 1.419260
1.198258, -1.260198
2.813188, -4.391346
-4.056540, -1.609116
-3.328005, 1.468189
-2.860997, -0.912121
-1.157310, -2.485535
-0.635363, 1.016100
1.920867, -0.939365
-4.746971, 0.718385
-1.822117, -0.180928
-2.657173, 3.381256
1.693798, 4.128188
1.568669, 0.950574
1.430563, -1.603389
-0.862795, 0.039495
-4.221006, -0.259166
-0.967215, 0.953562
1.592979, -1.022658
-0.734606, -0.370827
-2.252609, 3.595393
1.655245, 2.716420
-1.350755, -2.654515
0.603173, 0.967131
1.402120, 4.330842
1.385423, 3.500624
0.034563, -1.422330
2.138152, 0.643014
-0.522510, -1.191106
1.693660, 0.137538
-0.900443, 1.293137
-0.940725, 2.288185
-1.820491, -2.019150
1.029726, 1.604363
0.279409, 0.163847
-1.031889, 1.301784
1.621455, 3.652383
2.493094, -0.603765
1.476311, -2.091269
1.832163, 0.239254
-0.258790, 4.398283
-0.929672, -0.295820
3.598901, 2.171932
3.699450, -1.041984
-1.883952, -2.001306
-3.291698, 0.070893
5.211688, 2.619422
0.367546, -5.652459
-0.892772, 0.238902
0.664940, 2.668801
1.270835, -0.916198
2.648798, 0.624776
3.425904, 0.056413
-3.338295, 1.099019
-0.409385, 0.029917
3.715008, 4.783357
2.928521, -2.517263
1.669224, -2.511758
1.106757, -3.871523
0.485942, 0.272613
-1.673689, -2.754975
4.124938, 4.233517
3.303942, -2.848708
2.681592, -2.089364
1.195624, -0.328831
0.787841, 0.438405
0.711288, -1.302890
6.958253, -2.145356
-0.481064, -3.742429
-0.455802, -2.288405
0.797607, 0.020926
1.294329, -3.407560
-1.855916, -4.391450
-0.242485, -4.315384
-2.200376, 1.137369
0.971060, -1.515823
-2.497269, -0.457475
2.523771, -2.346655
2.788850, -3.887019
-0.428153, -2.084687
-4.830936, 3.504129
-0.095720, -1.925959
-3.270686, -1.572234
1.094427, -0.334331
-1.382327, 0.429050
-3.212860, 1.322947
0.057109, -0.780734
1.848855, -2.983115
1.822762, 4.074199
6.858242, -2.583632
1.554286, -2.081962
-0.239474, -1.213296
1.640528, -2.012101
-1.446873, -2.184347
1.452887, -0.045778
-1.116519, -6.437364
-2.052149, -0.537485
-5.047663, -3.242890
-0.394180, -2.887468
-2.529814, -1.671621
-0.202178, 2.998945
1.388251, -1.321043
0.002016, -2.873646
-5.451366, -1.341970
-1.171477, 2.179659
0.336207, 2.664287
2.023130, 2.822967
2.192111, -1.818644
-2.367173, -2.639255
-0.675734, -2.002444
-1.452929, -1.772813
-1.048319, 2.937071
0.773979, 1.099663
1.521293, -6.139007
-2.696516, -4.710178
-3.930916, -0.062799
-2.348383, 3.499851
-1.378207, 1.316710
0.410655, -0.335993
-0.001410, 2.987789
3.101560, 2.854846
-1.496605, -2.894951
-0.284752, -3.276710
-3.877979, 1.476991
-1.583895, 0.244535
-1.667494, 3.219091
5.621557, 0.475686
3.471972, -6.768860
-0.646953, -3.924239
-2.422053, 2.220150
-4.076740, 0.435916
3.174492, 2.269648
4.088824, 0.557231
0.138140, -6.966351
-5.138995, -3.927739
-4.641815, 0.215512
-8.271404, 1.570797
1.682134, 0.789500
